Transaction_ID;Office;Service_Type;Processing_Time;Status;Feedback;Date
1;Youssef El-Seddik Office;general power of attorney (tax affairs);13;Completed;excellent staff;25/01/2026
2;Fayoum University Office;car operation authorization;14;Pending;good;15/01/2026
3;Fayoum Model Office;general power of attorney (tax affairs);12;Pending;excellent staff;09/01/2026
4;Itsaa Office;general power of attorney (tax affairs);14;Completed;no feedback;04/01/2026
5;Al-Breid El-Gon Office;motorcycle sale power of attorney;14;Completed;average service;16/01/2026
6;Senores Office;general comprehensive power of attorney (banks & others);11;Pending;satisfied;20/01/2026
7;Tamiya Office;car sale power of attorney;12;Completed;good service;19/01/2026
8;Youssef El-Seddik Office;rental contract authentication;21;Completed;bad experience;19/01/2026
9;Tamiya Office;car operation authorization;12;Completed;no feedback;11/01/2026
10;Fayoum Model Office;general comprehensive power of attorney (banks & others);12;Pending;good service;13/01/2026
11;Al-Breid El-Gon Office;general power of attorney (court cases);14;Completed;good;18/01/2026
12;Al-Breid El-Gon Office;motorcycle sale power of attorney;13;Completed;not satisfied;07/01/2026
13;Tamiya Office;rental contract authentication;22;Pending;average service;03/01/2026
14;Fayoum University Office;motorcycle sale power of attorney;12;Completed;good service;07/01/2026
15;Al-Breid El-Gon Office;general power of attorney (court cases);15;Completed;excellent staff;02/01/2026
16;Senores Office;rental contract authentication;19;Completed;average service;12/01/2026
17;Itsaa Office;car operation authorization;11;Pending;very slow process;26/01/2026
18;El Fayoum Al-Dawahy Office;general power of attorney (court cases);13;Completed;good;29/01/2026
19;Unknown;general comprehensive power of attorney (banks & others);15;Completed;good service;20/01/2026
20;Itsaa Office;general power of attorney (tax affairs);15;Completed;average service;25/01/2026
21;Senores Office;general power of attorney (tax affairs);11;Completed;very slow process;11/01/2026
22;Tamiya Office;general comprehensive power of attorney (banks & others);13;Pending;average service;29/01/2026
23;Fayoum University Office;car operation authorization;14;Pending;good service;19/01/2026
24;Fayoum Model Office;car operation authorization;10;Completed;very slow process;11/01/2026
25;Fayoum University Office;vehicle inheritance contract;191;Pending;excellent staff;26/01/2026
26;Senores Office;motorcycle sale power of attorney;11;Pending;no feedback;18/01/2026
27;Al-Breid El-Gon Office;car sale power of attorney;15;Pending;average service;05/01/2026
28;Youssef El-Seddik Office;motorcycle sale power of attorney;14;Completed;good;18/01/2026
29;Itsaa Office;rental contract authentication;26;Pending;not satisfied;12/01/2026
30;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);10;Completed;no feedback;28/01/2026
31;Senores Office;rental contract authentication;15;Pending;excellent staff;10/01/2026
32;Al-Breid El-Gon Office;car sale power of attorney;12;Completed;very slow process;09/01/2026
33;Al-Breid El-Gon Office;general power of attorney (court cases);12;Completed;average service;11/01/2026
34;Youssef El-Seddik Office;car operation authorization;11;Completed;satisfied;03/01/2026
35;Tamiya Office;car sale power of attorney;13;Completed;good service;30/01/2026
36;Youssef El-Seddik Office;motorcycle sale power of attorney;13;Completed;satisfied;24/01/2026
37;Youssef El-Seddik Office;car sale power of attorney;15;Pending;excellent staff;12/01/2026
38;Youssef El-Seddik Office;car sale power of attorney;15;Pending;no feedback;29/01/2026
39;Fayoum University Office;car sale power of attorney;15;Completed;no feedback;14/01/2026
40;Youssef El-Seddik Office;vehicle inheritance contract;230;Completed;average service;19/01/2026
41;Fayoum University Office;rental contract authentication;26;Completed;good;08/01/2026
42;Fayoum Model Office;motorcycle sale power of attorney;13;Completed;average service;07/01/2026
43;Tamiya Office;car operation authorization;10;Completed;no feedback;15/01/2026
44;Itsaa Office;car sale power of attorney;12;Pending;bad experience;23/01/2026
45;Senores Office;motorcycle sale power of attorney;38.48291949;Pending;bad experience;10/01/2026
46;Youssef El-Seddik Office;general power of attorney (court cases);12;Pending;satisfied;24/01/2026
47;El Fayoum Al-Dawahy Office;rental contract authentication;21;Completed;excellent staff;17/01/2026
48;El Fayoum Al-Dawahy Office;car sale power of attorney;14;Pending;very slow process;05/01/2026
49;Youssef El-Seddik Office;car operation authorization;10;Completed;good;30/01/2026
50;Senores Office;car sale power of attorney;11;Completed;bad experience;08/01/2026
51;Fayoum University Office;general power of attorney (tax affairs);13;Pending;excellent staff;23/01/2026
52;Youssef El-Seddik Office;vehicle inheritance contract;204;Completed;not satisfied;08/01/2026
53;Fayoum Model Office;motorcycle sale power of attorney;13;Completed;good;18/01/2026
54;Al-Breid El-Gon Office;general power of attorney (court cases);15;Completed;good;25/01/2026
55;Fayoum University Office;rental contract authentication;16;Completed;bad experience;29/01/2026
56;Youssef El-Seddik Office;general power of attorney (court cases);11;Completed;good;29/01/2026
57;Al-Breid El-Gon Office;car operation authorization;10;Pending;good service;20/01/2026
58;Itsaa Office;car operation authorization;11;Completed;very slow process;06/01/2026
59;Al-Breid El-Gon Office;car sale power of attorney;14;Completed;satisfied;12/01/2026
60;Senores Office;rental contract authentication;16;Completed;bad experience;27/01/2026
61;El Fayoum Al-Dawahy Office;motorcycle sale power of attorney;13;Completed;good service;03/01/2026
62;El Fayoum Al-Dawahy Office;rental contract authentication;26;Completed;bad experience;10/01/2026
63;Fayoum Model Office;general power of attorney (court cases);13;Pending;not satisfied;05/01/2026
64;Senores Office;general power of attorney (court cases);13;Completed;good;04/01/2026
65;Fayoum University Office;car operation authorization;14;Pending;good service;03/01/2026
66;Itsaa Office;general comprehensive power of attorney (banks & others);12;Completed;no feedback;17/01/2026
67;Senores Office;vehicle inheritance contract;38.48291949;Completed;not satisfied;28/01/2026
68;Al-Breid El-Gon Office;car operation authorization;10;Pending;satisfied;27/01/2026
69;Tamiya Office;car operation authorization;13;Completed;good;01/01/2026
70;El Fayoum Al-Dawahy Office;motorcycle sale power of attorney;11;Pending;satisfied;07/01/2026
71;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);13;Pending;very slow process;04/01/2026
72;Fayoum Model Office;rental contract authentication;16;Completed;good;11/01/2026
73;Fayoum University Office;vehicle inheritance contract;185;Completed;very slow process;21/01/2026
74;Fayoum Model Office;general power of attorney (court cases);15;Completed;not satisfied;15/01/2026
75;Al-Breid El-Gon Office;car operation authorization;11;Pending;excellent staff;24/01/2026
76;Senores Office;rental contract authentication;18;Completed;satisfied;06/01/2026
77;Senores Office;general power of attorney (court cases);15;Pending;good service;28/01/2026
78;Itsaa Office;general power of attorney (tax affairs);14;Completed;no feedback;22/01/2026
79;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);11;Completed;average service;19/01/2026
80;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);11;Completed;average service;01/01/2026
81;Fayoum Model Office;general power of attorney (court cases);13;Completed;good;29/01/2026
82;Fayoum University Office;general power of attorney (court cases);11;Completed;very slow process;23/01/2026
83;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);11;Completed;good;19/01/2026
84;El Fayoum Al-Dawahy Office;car sale power of attorney;15;Completed;average service;09/01/2026
85;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);13;Pending;very slow process;05/01/2026
86;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);15;Completed;very slow process;19/01/2026
87;El Fayoum Al-Dawahy Office;car operation authorization;15;Pending;very slow process;30/01/2026
88;El Fayoum Al-Dawahy Office;rental contract authentication;21;Completed;good service;30/01/2026
89;Fayoum University Office;motorcycle sale power of attorney;13;Pending;very slow process;19/01/2026
90;Fayoum University Office;general power of attorney (court cases);10;Completed;good service;23/01/2026
91;El Fayoum Al-Dawahy Office;general power of attorney (court cases);15;Completed;good;26/01/2026
92;Senores Office;vehicle inheritance contract;219;Completed;good service;03/01/2026
93;Fayoum University Office;general power of attorney (court cases);38.48291949;Completed;satisfied;16/01/2026
94;El Fayoum Al-Dawahy Office;rental contract authentication;30;Pending;not satisfied;06/01/2026
95;Itsaa Office;car sale power of attorney;14;Pending;not satisfied;11/01/2026
96;Itsaa Office;motorcycle sale power of attorney;11;Completed;good service;16/01/2026
97;Youssef El-Seddik Office;general power of attorney (court cases);14;Completed;bad experience;10/01/2026
98;Youssef El-Seddik Office;rental contract authentication;22;Completed;good;14/01/2026
99;Senores Office;general comprehensive power of attorney (banks & others);11;Pending;average service;06/01/2026
100;Tamiya Office;general power of attorney (court cases);10;Completed;no feedback;08/01/2026
101;El Fayoum Al-Dawahy Office;rental contract authentication;26;Completed;not satisfied;04/01/2026
102;Senores Office;motorcycle sale power of attorney;13;Pending;very slow process;26/01/2026
103;Senores Office;general comprehensive power of attorney (banks & others);13;Completed;excellent staff;26/01/2026
104;Itsaa Office;general comprehensive power of attorney (banks & others);14;Completed;not satisfied;21/01/2026
105;Al-Breid El-Gon Office;car sale power of attorney;10;Completed;not satisfied;10/01/2026
106;Itsaa Office;general comprehensive power of attorney (banks & others);14;Completed;average service;20/01/2026
107;Fayoum Model Office;general power of attorney (court cases);14;Pending;good service;12/01/2026
108;El Fayoum Al-Dawahy Office;car operation authorization;10;Pending;bad experience;19/01/2026
109;Itsaa Office;rental contract authentication;23;Completed;no feedback;09/01/2026
110;El Fayoum Al-Dawahy Office;rental contract authentication;21;Completed;not satisfied;28/01/2026
111;Tamiya Office;general power of attorney (tax affairs);10;Completed;satisfied;07/01/2026
112;Fayoum Model Office;general comprehensive power of attorney (banks & others);10;Completed;good;13/01/2026
113;Tamiya Office;general power of attorney (tax affairs);13;Completed;good;24/01/2026
114;Fayoum Model Office;general power of attorney (court cases);12;Completed;excellent staff;19/01/2026
115;Fayoum Model Office;car operation authorization;12;Completed;very slow process;23/01/2026
116;Fayoum University Office;car sale power of attorney;10;Completed;average service;26/01/2026
117;Youssef El-Seddik Office;general power of attorney (tax affairs);38.48291949;Completed;bad experience;02/01/2026
118;Senores Office;general power of attorney (court cases);12;Completed;excellent staff;02/01/2026
119;Al-Breid El-Gon Office;general power of attorney (tax affairs);38.48291949;Completed;good service;06/01/2026
120;Senores Office;vehicle inheritance contract;238;Completed;good;16/01/2026
121;Tamiya Office;general power of attorney (tax affairs);14;Pending;bad experience;14/01/2026
122;Youssef El-Seddik Office;general power of attorney (tax affairs);11;Completed;no feedback;20/01/2026
123;Al-Breid El-Gon Office;general power of attorney (tax affairs);38.48291949;Completed;average service;04/01/2026
124;Tamiya Office;vehicle inheritance contract;220;Pending;satisfied;25/01/2026
125;Tamiya Office;general power of attorney (court cases);13;Completed;good service;09/01/2026
126;Al-Breid El-Gon Office;vehicle inheritance contract;186;Pending;very slow process;21/01/2026
127;El Fayoum Al-Dawahy Office;general power of attorney (court cases);38.48291949;Pending;not satisfied;14/01/2026
128;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);13;Pending;excellent staff;02/01/2026
129;Senores Office;general power of attorney (court cases);11;Completed;no feedback;20/01/2026
130;Tamiya Office;general power of attorney (tax affairs);10;Completed;no feedback;23/01/2026
131;El Fayoum Al-Dawahy Office;car sale power of attorney;15;Completed;very slow process;12/01/2026
132;El Fayoum Al-Dawahy Office;rental contract authentication;22;Completed;good service;16/01/2026
133;Unknown;rental contract authentication;38.48291949;Pending;good service;18/01/2026
134;Tamiya Office;car sale power of attorney;12;Pending;not satisfied;17/01/2026
135;Al-Breid El-Gon Office;motorcycle sale power of attorney;13;Completed;bad experience;02/01/2026
136;Youssef El-Seddik Office;general power of attorney (tax affairs);15;Completed;no feedback;25/01/2026
137;Al-Breid El-Gon Office;vehicle inheritance contract;206;Completed;excellent staff;04/01/2026
138;Fayoum Model Office;car sale power of attorney;12;Completed;average service;21/01/2026
139;Itsaa Office;general comprehensive power of attorney (banks & others);10;Pending;average service;07/01/2026
140;Youssef El-Seddik Office;general power of attorney (tax affairs);12;Pending;average service;17/01/2026
141;Itsaa Office;vehicle inheritance contract;216;Pending;average service;03/01/2026
142;Itsaa Office;car operation authorization;15;Completed;average service;10/01/2026
143;Fayoum University Office;vehicle inheritance contract;182;Completed;very slow process;17/01/2026
144;Youssef El-Seddik Office;motorcycle sale power of attorney;10;Completed;satisfied;27/01/2026
145;Fayoum University Office;motorcycle sale power of attorney;14;Completed;very slow process;02/01/2026
146;Tamiya Office;general power of attorney (court cases);38.48291949;Pending;good;01/01/2026
147;Tamiya Office;general power of attorney (tax affairs);15;Completed;good service;23/01/2026
148;El Fayoum Al-Dawahy Office;car sale power of attorney;12;Completed;good service;11/01/2026
149;Itsaa Office;general power of attorney (court cases);10;Pending;good service;13/01/2026
150;Fayoum University Office;car sale power of attorney;11;Completed;good;18/01/2026
151;Fayoum University Office;general power of attorney (tax affairs);11;Pending;good;22/01/2026
152;Itsaa Office;general comprehensive power of attorney (banks & others);13;Completed;average service;30/01/2026
153;Fayoum University Office;car sale power of attorney;14;Completed;good;08/01/2026
154;Itsaa Office;motorcycle sale power of attorney;12;Pending;very slow process;26/01/2026
155;Fayoum University Office;general comprehensive power of attorney (banks & others);10;Completed;bad experience;17/01/2026
156;Unknown;general comprehensive power of attorney (banks & others);13;Pending;satisfied;13/01/2026
157;Fayoum Model Office;car operation authorization;14;Completed;good service;14/01/2026
158;Tamiya Office;car operation authorization;13;Completed;excellent staff;16/01/2026
159;Fayoum University Office;car sale power of attorney;15;Completed;good;14/01/2026
